year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2022,3,พิษณุโลก,1305,3960,1305,3960,5,11,"2023-01-16 07:37:07"
2022,3,ร้อยเอ็ด,1566,4059,1560,4047,0,4,"2023-01-16 07:37:07"
2022,3,สมุทรสาคร,2799,6429,2799,6426,0,1,"2023-01-16 07:37:07"
2022,3,ระยอง,2916,8430,2907,8364,2,4,"2023-01-16 07:37:07"
2022,3,เชียงราย,663,2166,645,2091,2,9,"2023-01-16 07:37:07"
2022,3,เชียงใหม่,3225,12030,3195,11880,3,17,"2023-01-16 07:37:07"
2022,3,สงขลา,1566,4758,1563,4743,5,13,"2023-01-16 07:37:07"
2022,3,บึงกาฬ,315,1140,315,1134,0,1,"2023-01-16 07:37:07"
2022,3,สุราษฎร์ธานี,2499,7323,2406,6471,1,5,"2023-01-16 07:37:07"
2022,3,สระบุรี,1470,3747,1467,3744,0,4,"2023-01-16 07:37:07"
2022,3,พระนครศรีอยุธยา,2073,4152,2073,4152,0,2,"2023-01-16 07:37:07"
2022,3,สมุทรปราการ,13929,34782,13836,34134,3,5,"2023-01-16 07:37:07"
2022,3,นครสวรรค์,1461,3744,1461,3732,0,6,"2023-01-16 07:37:07"
2022,3,หนองบัวลำภู,645,1557,645,1557,0,0,"2023-01-16 07:37:07"
2022,3,นราธิวาส,240,579,240,573,0,0,"2023-01-16 07:37:07"
2022,3,ปัตตานี,324,1230,324,1224,1,8,"2023-01-16 07:37:07"
2022,3,สุรินทร์,1980,4506,1974,4455,0,0,"2023-01-16 07:37:07"
2022,3,ทั้งประเทศ,160218,439137,155976,423288,103,321,"2023-01-16 07:37:07"
2022,3,นครพนม,612,2046,612,2046,0,0,"2023-01-16 07:37:07"
2022,3,ฉะเชิงเทรา,1773,4707,1773,4692,0,3,"2023-01-16 07:37:07"
2022,3,เลย,1542,2760,1539,2757,0,3,"2023-01-16 07:37:07"
2022,3,ระนอง,267,795,267,777,0,0,"2023-01-16 07:37:07"
2022,3,กรุงเทพมหานคร,21786,48882,21111,46578,14,34,"2023-01-16 07:37:07"
2022,3,พิจิตร,231,822,231,822,0,0,"2023-01-16 07:37:07"
2022,3,ชัยนาท,342,942,342,942,0,0,"2023-01-16 07:37:07"
